stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
hit,stand,stand,stand,stand,stand,hit,hit,hit,hit
hit,stand,stand,stand,stand,stand,hit,hit,hit,hit
hit,stand,stand,stand,stand,stand,hit,hit,hit,hit
hit,stand,stand,stand,stand,stand,hit,hit,hit,hit
hit,hit,hit,stand,stand,stand,hit,hit,hit,hit
double,double,double,double,double,double,double,double,double,double
hit,double,double,double,double,double,double,double,double,hit
hit,hit,double,double,double,double,hit,hit,hit,hit
hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
